time,open,high,low,close,tick_volume,spread,real_volume,ema_10,ema_20,ema_30,ema_40,ema_50,upper_band,middle_band,lower_band,signal
2023-10-13 00:00:00,1.0528,1.05395,1.05249,1.05389,4099,0,0,1.05389,1.05389,1.05389,1.05389,1.05389,,,,hold
2023-10-13 04:00:00,1.05389,1.05501,1.05375,1.05498,6438,0,0,1.0540881818181818,1.0539938095238095,1.053960322580645,1.0539431707317073,1.0539327450980394,,,,hold
2023-10-13 08:00:00,1.05499,1.05586,1.05316,1.05539,15988,0,0,1.0543248760330577,1.0541267800453513,1.0540525598335069,1.0540137477691849,1.0539898923490967,,,,hold
2023-10-13 12:00:00,1.05539,1.0555,1.05141,1.05377,20348,0,0,1.0542239894815926,1.0540928009934132,1.0540343301668291,1.0540018576341028,1.0539812691197203,,,,hold
2023-10-13 16:00:00,1.05377,1.05413,1.04954,1.05092,24924,0,0,1.053623264121303,1.053790629470231,1.053833405639937,1.053851523115366,1.0538612193503196,,,,hold
2023-10-13 20:00:00,1.05092,1.05159,1.05011,1.0507,7222,0,0,1.0530917615537934,1.0534962838063995,1.0536312504373604,1.05369779028047,1.0537372499640327,,,,hold
2023-10-16 00:00:00,1.05084,1.05251,1.05023,1.05173,5495,0,0,1.0528441685440129,1.053328066301028,1.053508589118821,1.053601800510691,1.053658534279169,,,,hold
2023-10-16 04:00:00,1.05175,1.05268,1.05175,1.05258,4684,0,0,1.0527961378996469,1.0532568218914065,1.0534486801434133,1.0535519565833402,1.0536162388172405,,,,hold
2023-10-16 08:00:00,1.05259,1.05428,1.05227,1.05406,14486,1,0,1.053025931008802,1.0533333150446058,1.0534881201341608,1.053576739189031,1.0536336412165646,,,,hold
2023-10-16 12:00:00,1.05404,1.05459,1.0526,1.05416,14009,1,0,1.0532321253708379,1.0534120469451196,1.0535314672222795,1.0536051909359074,1.0536542827374835,,,,hold
2023-10-16 16:00:00,1.05417,1.05554,1.05255,1.05472,18282,2,0,1.0535026480306855,1.0535366139027273,1.053608146756326,1.0536595718658632,1.0536960755713076,,,,hold
2023-10-16 20:00:00,1.05472,1.05627,1.05436,1.05592,6492,1,0,1.0539421665705608,1.0537636030548485,1.0537572985784986,1.0537698366528943,1.0537832882940015,,,,hold
2023-10-17 00:00:00,1.05599,1.05618,1.05527,1.05554,4538,1,0,1.0542326817395498,1.0539327837162915,1.0538723115734343,1.0538561860844602,1.0538521789491389,,,,hold
2023-10-17 04:00:00,1.05555,1.05557,1.05454,1.05473,5538,1,0,1.0543231032414497,1.0540087090766446,1.0539276463106322,1.053898811153511,1.0538866033040746,,,,hold
2023-10-17 08:00:00,1.05473,1.05547,1.05327,1.05356,11976,0,0,1.0541843571975498,1.0539659748788688,1.0539039271938173,1.053882283780169,1.053873795331366,,,,hold
2023-10-17 12:00:00,1.05362,1.05791,1.05359,1.05472,19676,1,0,1.0542817467979952,1.054037786795167,1.0539565770522807,1.0539231479860145,1.053906979828175,,,,hold
2023-10-17 16:00:00,1.05471,1.05947,1.05397,1.05793,24383,2,0,1.054945065561996,1.0544084737670558,1.0542129269198757,1.0541186041818187,1.0540647453251095,,,,hold
2023-10-17 20:00:00,1.05794,1.0581,1.05639,1.05769,7410,0,0,1.0554441445507239,1.0547210000749552,1.0544372542153677,1.054292818611974,1.0542069121751054,,,,hold
2023-10-18 00:00:00,1.05765,1.05771,1.05602,1.05642,4223,2,0,1.0556215728142286,1.054882809591626,1.0545651732982473,1.0543965835577314,1.0542936999329444,,,,hold
2023-10-18 04:00:00,1.05642,1.05787,1.05612,1.05755,5835,1,0,1.0559721959389143,1.055136827725757,1.0547577427628765,1.054550408750037,1.0544213979747896,1.0585446866277455,1.054548,1.0505513133722546,hold
2023-10-18 08:00:00,1.05755,1.0594,1.05703,1.0582799999999999,13262,1,0,1.0563917966772935,1.055436177466161,1.0549849851652715,1.054732340030523,1.0545727157012683,1.0590663085558703,1.0547675,1.05046869144413,hold
2023-10-18 12:00:00,1.0582799999999999,1.05865,1.05491,1.05568,14498,2,0,1.0562623790996037,1.05545939865986,1.0550298248320282,1.0547785673461072,1.0546161386149442,1.0591190211688466,1.0548024999999999,1.0504859788311531,hold
2023-10-18 16:00:00,1.05569,1.0564,1.05229,1.05367,21955,2,0,1.0557910374451303,1.0552889797398732,1.054942094197704,1.0547244908901994,1.0545790351398483,1.0590512723124161,1.0547165,1.050381727687584,hold
2023-10-18 20:00:00,1.05367,1.05537,1.05315,1.05354,10193,0,0,1.055381757909652,1.0551224102408376,1.0548516365075296,1.0546667108467749,1.054538288663776,1.0590509613438477,1.0547049999999998,1.0503590386561519,hold
2023-10-19 00:00:00,1.05363,1.05397,1.05321,1.05387,4162,0,0,1.05510689283517,1.0550031330750436,1.0547883051199471,1.0546278469030297,1.0545120812651965,1.0588618085440935,1.0548524999999997,1.050843191455906,hold
2023-10-19 04:00:00,1.05386,1.05418,1.05304,1.05335,6367,0,0,1.05478745777423,1.0548456918298013,1.0546955112412408,1.0545655129077598,1.054466509450875,1.0585915468249607,1.0549849999999998,1.051378453175039,hold
2023-10-19 08:00:00,1.05335,1.0548,1.05281,1.05355,13268,0,0,1.0545624654516428,1.0547222926079154,1.054621607290193,1.054515975692747,1.054430567903782,1.0584326197278675,1.0550760000000001,1.0517193802721327,hold
2023-10-19 12:00:00,1.05355,1.05796,1.05349,1.05761,15869,1,0,1.0551165626422532,1.0549973123595424,1.0548144068198582,1.0546669037077347,1.0545552515153984,1.0586519721381618,1.0553275000000002,1.0520030278618386,hold
2023-10-19 16:00:00,1.05762,1.06164,1.05557,1.05962,38725,4,0,1.0559353694345708,1.0554375683253003,1.0551244450895447,1.0549085181610158,1.0547538691030298,1.059361399226438,1.0556055,1.051849600773562,hold
2023-10-19 20:00:00,1.05962,1.06064,1.05779,1.05814,18416,4,0,1.0563362113555579,1.0556949427705098,1.0553189970192516,1.055066151421454,1.0548866585499699,1.0596535542990946,1.0558045000000003,1.051955445700906,hold
2023-10-20 00:00:00,1.05795,1.05861,1.05734,1.05758,4657,1,0,1.0565623547454563,1.0558744720304611,1.0554648681793,1.0551887781813831,1.0549922797833045,1.0598370597433646,1.0559475000000003,1.052057940256636,hold
2023-10-20 04:00:00,1.05757,1.05796,1.0568,1.05751,6173,0,0,1.056734653882646,1.0560302365989886,1.0555968121677324,1.0553020085139986,1.0550910139094494,1.0599756103881262,1.0560270000000003,1.0520783896118744,hold
2023-10-20 08:00:00,1.05751,1.0594999999999999,1.05647,1.05876,13710,0,0,1.0571028986312558,1.0562902140657517,1.0558008888020722,1.055470691025511,1.055234895716922,1.060303126243286,1.0561880000000001,1.0520728737567142,hold
2023-10-20 12:00:00,1.05876,1.05987,1.05649,1.05833,13203,5,0,1.0573260079710274,1.056484479392823,1.0559640572664548,1.0556101695120712,1.0553562723554741,1.0605269835291025,1.0563680000000004,1.0522090164708984,hold
2023-10-20 16:00:00,1.05834,1.06005,1.05719,1.05891,19470,5,0,1.0576140065217496,1.0567154813554114,1.0561541180879739,1.0557711368529459,1.055495634223887,1.0607252798224989,1.0566355000000003,1.0525457201775017,hold
2023-10-20 20:00:00,1.05892,1.06033,1.0586,1.05931,8486,1,0,1.0579223689723405,1.0569625783691816,1.0563577233726207,1.0559437643235339,1.0556452171954993,1.0610137805432405,1.0568650000000004,1.0527162194567603,hold
2023-10-23 00:00:00,1.05918,1.05969,1.05838,1.05869,4504,0,0,1.0580619382500966,1.0571270947149738,1.0565081928324518,1.0560777270394588,1.0557646204427344,1.0611037004173909,1.0569030000000004,1.0527022995826099,hold
2023-10-23 04:00:00,1.05868,1.05871,1.05731,1.05762,4854,0,0,1.057981585840988,1.0571740380754524,1.0565799223271324,1.056152959866802,1.0558373804253722,1.061097687584691,1.0568995000000003,1.0527013124153097,hold
2023-10-23 08:00:00,1.05761,1.06105,1.05714,1.06025,13814,1,0,1.05839402477899,1.0574669868301712,1.0568167015318335,1.0563528154830555,1.0560104243302595,1.0615269075730966,1.0570910000000002,1.0526550924269038,hold
2023-10-23 12:00:00,1.06025,1.06187,1.0590600000000001,1.06097,14881,0,0,1.0588623839100826,1.0578006071320596,1.0570846562717153,1.0565780439960772,1.0562049174937786,1.062008314780497,1.0572620000000004,1.0525156852195037,hold
2023-10-23 16:00:00,1.06096,1.06647,1.05909,1.06646,19811,2,0,1.0602437686537038,1.0586253112147206,1.0576895171574112,1.0570600906304148,1.056607077592062,1.0638816163941613,1.0576710000000005,1.0514603836058396,hold
2023-10-23 20:00:00,1.06645,1.06778,1.06596,1.06693,9716,1,0,1.0614594470803032,1.0594162339561757,1.058285677340804,1.0575415496240532,1.0570118980786476,1.065558739313124,1.0582335000000005,1.050908260686877,hold
2023-10-24 00:00:00,1.06686,1.06734,1.06609,1.06721,4693,1,0,1.0625050021566116,1.0601584973889209,1.0588614400930103,1.0580131813497091,1.0574118236441907,1.0668965014398046,1.0589105000000003,1.050924498560196,hold
2023-10-24 04:00:00,1.06721,1.06868,1.06677,1.06789,6270,0,0,1.0634840926735911,1.0608948309709283,1.0594439278289451,1.0584949773814307,1.0578227325208893,1.0681176892755972,1.0596280000000005,1.0511383107244037,hold
2023-10-24 08:00:00,1.06789,1.06947,1.06439,1.06501,17555,0,0,1.0637615303693018,1.06128675183084,1.059803029259336,1.0588127833628243,1.0581045861475211,1.068551367192285,1.0601850000000004,1.0518186328077157,hold
